,Unnamed: 0,tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product,entities,sentiment_prediction
2326,2326,Unexpected geekout moment of #sxsw so far: talked with the guys who are bringing the Traveller RPG to the iPhone.,iPad or iPhone App,2,"[{""word"": ""\u0120Trave"", ""entity"": ""B-creative_work""}, {""word"": ""ller"", ""entity"": ""I-creative_work""}, {""word"": ""\u0120RPG"", ""entity"": ""I-product""}, {""word"": ""\u0120iPhone"", ""entity"": ""B-product""}]",2
2328,2328,Only stood in line for 30 minutes to buy 2 iPads at the Apple pop-up store. #apple #sxsw #ipad #austin #fuckyeah,iPad,2,"[{""word"": ""\u0120iPads"", ""entity"": ""B-product""}, {""word"": ""\u0120Apple"", ""entity"": ""B-corporation""}, {""word"": ""apple"", ""entity"": ""B-corporation""}, {""word"": ""a"", ""entity"": ""B-location""}, {""word"": ""ust"", ""entity"": ""I-location""}, {""word"": ""in"", ""entity"": ""I-location""}, {""word"": ""f"", ""entity"": ""B-location""}, {""word"": ""ucky"", ""entity"": ""I-location""}, {""word"": ""eah"", ""entity"": ""I-location""}]",2
2329,2329,"Sam licked it, so it's his! RT: @mention How I got an iPad 2 during #SXSW! {link} cc @mention",iPad,2,"[{""word"": ""Sam"", ""entity"": ""B-person""}, {""word"": ""ment"", ""entity"": ""I-person""}, {""word"": ""ion"", ""entity"": ""I-person""}, {""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""\u01202"", ""entity"": ""I-product""}, {""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""I-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""ment"", ""entity"": ""I-person""}, {""word"": ""ion"", ""entity"": ""I-person""}]",2
2333,2333,"Just added my #SXSW flights to @mention Matching people on planes/airports. Also downloaded the @mention iPhone app, nicely done.",iPad or iPhone App,2,"[{""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""\u0120@"", ""entity"": ""B-corporation""}, {""word"": ""ment"", ""entity"": ""I-corporation""}, {""word"": ""ion"", ""entity"": ""I-corporation""}, {""word"": ""\u0120Match"", ""entity"": ""I-corporation""}, {""word"": ""ing"", ""entity"": ""I-corporation""}, {""word"": ""\u0120@"", ""entity"": ""B-product""}, {""word"": ""ment"", ""entity"": ""I-corporation""}, {""word"": ""ion"", ""entity"": ""I-corporation""}, {""word"": ""\u0120iPhone"", ""entity"": ""B-product""}, {""word"": ""\u0120app"", ""entity"": ""I-product""}]",2
2334,2334,Just found out new mapquest iPhone app has turn-by-turn gps for free... Time to check it out and get reacquainted with mq #sxsw,iPad or iPhone App,2,"[{""word"": ""\u0120map"", ""entity"": ""B-product""}, {""word"": ""quest"", ""entity"": ""I-corporation""}, {""word"": ""\u0120iPhone"", ""entity"": ""B-product""}, {""word"": ""\u0120app"", ""entity"": ""I-product""}]",2
2335,2335,You should probably put that away... RT @mention at the Android party and kinda embarrassed by my iPhone #SXSW,iPhone,0,"[{""word"": ""\u0120@"", ""entity"": ""B-person""}, {""word"": ""ment"", ""entity"": ""I-person""}, {""word"": ""ion"", ""entity"": ""I-person""}, {""word"": ""\u0120Android"", ""entity"": ""B-product""}, {""word"": ""\u0120iPhone"", ""entity"": ""B-product""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",0
2337,2337,makes good sense RT @mention Apple set to open popup shop in core of SXSW action {link} via @mention #SXSW,Apple,2,"[{""word"": ""\u0120@"", ""entity"": ""B-corporation""}, {""word"": ""ment"", ""entity"": ""I-corporation""}, {""word"": ""ion"", ""entity"": ""I-corporation""}, {""word"": ""\u0120Apple"", ""entity"": ""I-corporation""}, {""word"": ""\u0120SX"", ""entity"": ""B-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""\u0120@"", ""entity"": ""B-corporation""}, {""word"": ""ment"", ""entity"": ""I-corporation""}, {""word"": ""ion"", ""entity"": ""I-corporation""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",2
2338,2338,#localmind sounds awesome.. location based Q&amp;A could be incredibly useful. {link} #iphone #sxsw,iPhone,2,"[{""word"": ""iph"", ""entity"": ""B-product""}, {""word"": ""one"", ""entity"": ""I-product""}]",2
2340,2340,Just heard that Apple is opening a store in downtown Austin tomorrow to sell iPads to #SXSW attendees.,Apple,2,"[{""word"": ""\u0120Apple"", ""entity"": ""B-corporation""}, {""word"": ""\u0120downtown"", ""entity"": ""B-location""}, {""word"": ""\u0120Austin"", ""entity"": ""B-location""}, {""word"": ""\u0120iPads"", ""entity"": ""B-product""}, {""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""I-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",1
2345,2345,Don't need to charge at #sxsw if you're talking in the sun with your iphone: {link} boom!,iPhone,1,"[{""word"": ""\u0120"", ""entity"": ""B-product""}, {""word"": ""iph"", ""entity"": ""I-product""}, {""word"": ""one"", ""entity"": ""I-product""}]",2
2346,2346,Interested to hear how it's different from Google Buzz. RT @mention Get ready for the word &quot;Circles&quot; to be trending #SXSWi #SXSW :),Other Google product or service,2,"[{""word"": ""\u0120Google"", ""entity"": ""B-corporation""}, {""word"": ""\u0120Buzz"", ""entity"": ""I-product""}, {""word"": ""ion"", ""entity"": ""I-person""}]",2
2350,2350,"So Annoyed with #SXSW schedule app that has bad #ui for iPad. My fingers ain't THAT fat, y'all.",iPad or iPhone App,0,"[{""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""\u0120iPad"", ""entity"": ""B-product""}]",0
2351,2351,{link} Did you hear? Apple�۪s opening a temporary store just for #SXSW! (via @mention,Apple,2,"[{""word"": ""\u0120Apple"", ""entity"": ""B-corporation""}, {""word"": ""\u00ef\u00bf\u00bd"", ""entity"": ""I-corporation""}, {""word"": ""\u00db"", ""entity"": ""I-corporation""}, {""word"": ""\u00aa"", ""entity"": ""I-corporation""}, {""word"": ""s"", ""entity"": ""I-corporation""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""ment"", ""entity"": ""I-corporation""}, {""word"": ""ion"", ""entity"": ""I-corporation""}]",1
2356,2356,ballroom d: #marissagoogle talking about some cool projects (obv). love the Google Art Project. #sxsw,Google,2,"[{""word"": ""\u0120#"", ""entity"": ""B-person""}, {""word"": ""mar"", ""entity"": ""B-person""}, {""word"": ""iss"", ""entity"": ""I-person""}, {""word"": ""ago"", ""entity"": ""I-person""}, {""word"": ""ogle"", ""entity"": ""I-person""}, {""word"": ""\u0120Google"", ""entity"": ""B-corporation""}, {""word"": ""\u0120Art"", ""entity"": ""I-corporation""}, {""word"": ""\u0120Project"", ""entity"": ""I-corporation""}]",2
2357,2357,All packed! Charging the ipad for a busy day/weekend ahead. Also need to download the #SXSW apps for iphone/ipad!,iPad or iPhone App,2,"[{""word"": ""\u0120ip"", ""entity"": ""B-product""}, {""word"": ""ad"", ""entity"": ""I-product""}, {""word"": ""S"", ""entity"": ""I-corporation""}, {""word"": ""X"", ""entity"": ""I-corporation""}, {""word"": ""SW"", ""entity"": ""I-corporation""}, {""word"": ""\u0120"", ""entity"": ""B-product""}, {""word"": ""iph"", ""entity"": ""I-product""}, {""word"": ""one"", ""entity"": ""I-product""}, {""word"": ""ip"", ""entity"": ""B-product""}, {""word"": ""ad"", ""entity"": ""I-product""}]",2
2358,2358,"IPAD FOUND!!! My friend Jeff has it!!!! #SXSW thanks to everyone who helped, especially @mention",iPad,2,"[{""word"": ""\u0120Jeff"", ""entity"": ""B-person""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""\u0120@"", ""entity"": ""B-person""}, {""word"": ""ment"", ""entity"": ""I-person""}, {""word"": ""ion"", ""entity"": ""I-person""}]",2
2359,2359,All Packed. A few too many #Apple devices. Alarm set for 5:15am. See ya'll at #SXSW. Psyched to meet (finally) many of you guys!,Apple,2,"[{""word"": ""Apple"", ""entity"": ""B-product""}, {""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",2
2361,2361,#want ipad2? Win it here: {link} #sxsw,iPad,2,"[{""word"": ""\u0120ip"", ""entity"": ""B-product""}, {""word"": ""ad"", ""entity"": ""I-product""}, {""word"": ""2"", ""entity"": ""I-product""}]",2
2362,2362,Download Daily Grape  - a new app from @mention for the iPhone.  You can take him with you to the wine shop. #sxsw,iPad or iPhone App,2,"[{""word"": ""\u0120Daily"", ""entity"": ""B-creative_work""}, {""word"": ""\u0120Grape"", ""entity"": ""I-creative_work""}, {""word"": ""\u0120@"", ""entity"": ""B-corporation""}, {""word"": ""ment"", ""entity"": ""I-corporation""}, {""word"": ""ion"", ""entity"": ""I-corporation""}, {""word"": ""\u0120iPhone"", ""entity"": ""B-product""}]",2
2365,2365,Cobra iRadar detection system coming to Android next month {link} #Android #GPS #iPhone #SXSW,Android App,2,"[{""word"": ""C"", ""entity"": ""B-product""}, {""word"": ""ob"", ""entity"": ""I-product""}, {""word"": ""ra"", ""entity"": ""I-product""}, {""word"": ""\u0120i"", ""entity"": ""I-product""}, {""word"": ""Rad"", ""entity"": ""I-product""}, {""word"": ""ar"", ""entity"": ""I-product""}, {""word"": ""\u0120detection"", ""entity"": ""I-product""}, {""word"": ""\u0120system"", ""entity"": ""I-product""}, {""word"": ""\u0120Android"", ""entity"": ""B-product""}, {""word"": ""Android"", ""entity"": ""B-product""}, {""word"": ""PS"", ""entity"": ""I-product""}, {""word"": ""iPhone"", ""entity"": ""B-product""}, {""word"": ""X"", ""entity"": ""I-product""}, {""word"": ""SW"", ""entity"": ""I-product""}]",1
2369,2369,"Exciting day at #sxsw to day. Now Tim Ferriss, and rumors about launch of Google Circles later...",Other Google product or service,2,"[{""word"": ""sw"", ""entity"": ""I-event""}, {""word"": ""\u0120Tim"", ""entity"": ""B-person""}, {""word"": ""\u0120Ferr"", ""entity"": ""I-person""}, {""word"": ""iss"", ""entity"": ""I-person""}, {""word"": ""\u0120Google"", ""entity"": ""B-product""}, {""word"": ""\u0120Cir"", ""entity"": ""I-product""}, {""word"": ""cles"", ""entity"": ""I-product""}]",2
2370,2370,It's pie day at the google booth at #sxsw #mylunch,Google,2,"[{""word"": ""\u0120pie"", ""entity"": ""B-event""}, {""word"": ""\u0120day"", ""entity"": ""I-event""}, {""word"": ""\u0120google"", ""entity"": ""B-corporation""}, {""word"": ""x"", ""entity"": ""I-location""}, {""word"": ""sw"", ""entity"": ""I-location""}]",2
2373,2373,The forbidden apple has been spoiled! Long live #samsung! They are rocking the #sxsw &amp; #sxswi's world.,Apple,0,"[{""word"": ""s"", ""entity"": ""I-corporation""}, {""word"": ""amsung"", ""entity"": ""I-corporation""}]",2
2377,2377,I just made the decision: Id like to purchase an iPad.  It would be perfect for me at #SXSW.,iPad,2,"[{""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",2
2380,2380,Have decided I need an ipad. #usguys #sxsw,iPad,2,"[{""word"": ""\u0120ip"", ""entity"": ""B-product""}, {""word"": ""ad"", ""entity"": ""I-product""}]",1
2383,2383,"It's a model for one, not for all. RT @mention #sxsw &quot;apple comes up with cool tech no one's ever heard of cuz they don't go to conferences&quot;",Apple,2,"[{""word"": ""ment"", ""entity"": ""I-person""}, {""word"": ""ion"", ""entity"": ""I-person""}, {""word"": ""apple"", ""entity"": ""B-corporation""}]",1
2384,2384,Great UI demo of @mention on @mention {link} #xoom #sxsw #android #tech #tablet,Android,2,"[{""word"": ""\u0120@"", ""entity"": ""B-product""}, {""word"": ""ment"", ""entity"": ""I-corporation""}, {""word"": ""ion"", ""entity"": ""I-corporation""}, {""word"": ""\u0120@"", ""entity"": ""B-product""}, {""word"": ""ment"", ""entity"": ""I-corporation""}, {""word"": ""ion"", ""entity"": ""I-corporation""}, {""word"": ""\u0120{"", ""entity"": ""B-product""}, {""word"": ""x"", ""entity"": ""B-product""}, {""word"": ""oom"", ""entity"": ""I-product""}]",2
2390,2390,The iPad design panel in Hilton Salon J is filling up quickly. No surprises there. #tapworthy #sxsw it's more fun with the iPad2,iPad,2,"[{""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""\u0120Hilton"", ""entity"": ""B-location""}, {""word"": ""\u0120Salon"", ""entity"": ""I-location""}, {""word"": ""\u0120J"", ""entity"": ""I-location""}, {""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""2"", ""entity"": ""I-product""}]",2
2391,2391,#android dev meetup was mostly ppl looking for devs. Good skill to learn if you havent already. #SXSW #mccannsxsw,Android,2,"[{""word"": ""#"", ""entity"": ""B-event""}, {""word"": ""android"", ""entity"": ""B-event""}, {""word"": ""\u0120dev"", ""entity"": ""I-event""}, {""word"": ""\u0120meet"", ""entity"": ""I-event""}, {""word"": ""up"", ""entity"": ""I-event""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",2
2404,2404,is a bit disappointed that the two iPad talks had so many overlapping examples #sxsw,Apple,0,"[{""word"": ""\u0120iPad"", ""entity"": ""B-product""}]",0
2410,2410,hope u didn't jinx it. :) @mention Nice that @mention iPhone app is behaving today. Crashes yesterday were ridiculous. #sxsw,iPad or iPhone App,2,"[{""word"": ""\u0120@"", ""entity"": ""B-corporation""}, {""word"": ""ment"", ""entity"": ""I-corporation""}, {""word"": ""ion"", ""entity"": ""I-corporation""}, {""word"": ""\u0120@"", ""entity"": ""B-product""}, {""word"": ""ment"", ""entity"": ""I-corporation""}, {""word"": ""ion"", ""entity"": ""I-corporation""}, {""word"": ""\u0120iPhone"", ""entity"": ""B-product""}, {""word"": ""\u0120app"", ""entity"": ""I-product""}]",2
2411,2411,Thank goodness they ran out of iPad 2s. Now I don't have to worry about giving in and just buying one at the popup Apple store. #SXSW,iPad,2,"[{""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""\u01202"", ""entity"": ""I-product""}, {""word"": ""s"", ""entity"": ""I-product""}, {""word"": ""\u0120Apple"", ""entity"": ""B-corporation""}]",2
2418,2418,"Fest tip-don't be an iPhone douche.Put away your phone and talk to your fellow festgoers in lines, etc.All good people who love film. #sxsw",iPhone,0,[],2
2422,2422,Counting down the days to #sxsw plus strong Canadian dollar means stock up on Apple gear,Apple,2,"[{""word"": ""\u0120Canadian"", ""entity"": ""B-location""}, {""word"": ""\u0120Apple"", ""entity"": ""B-corporation""}]",2
2425,2425,"Having a drink called an Alan Turing and making a Lego robot. Oh, Google :) #sxsw  @mention Speakeasy {link}",Google,2,"[{""word"": ""\u0120Alan"", ""entity"": ""B-person""}, {""word"": ""\u0120Turing"", ""entity"": ""I-person""}, {""word"": ""\u0120Lego"", ""entity"": ""B-product""}, {""word"": ""\u0120robot"", ""entity"": ""I-product""}, {""word"": ""\u0120Google"", ""entity"": ""B-corporation""}, {""word"": ""\u0120@"", ""entity"": ""B-corporation""}, {""word"": ""ment"", ""entity"": ""I-corporation""}, {""word"": ""ion"", ""entity"": ""I-corporation""}, {""word"": ""\u0120Spe"", ""entity"": ""I-corporation""}, {""word"": ""ake"", ""entity"": ""I-corporation""}, {""word"": ""asy"", ""entity"": ""I-corporation""}]",2
2426,2426,Apple is driving the &quot;consumerization&quot; of IT.  #empowered  #SXSW,Apple,2,"[{""word"": ""Apple"", ""entity"": ""B-corporation""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",2
2428,2428,at the Android party and kinda embarrassed by my iPhone #SXSW,iPhone,0,"[{""word"": ""\u0120Android"", ""entity"": ""B-corporation""}, {""word"": ""\u0120iPhone"", ""entity"": ""B-product""}]",0
2438,2438,This schedule is heavier than my laptop. Where's my ipad already? #sxsw,iPad,2,"[{""word"": ""\u0120ip"", ""entity"": ""B-product""}, {""word"": ""ad"", ""entity"": ""I-product""}]",1
2440,2440,"Kinda giddy about #TheIndustryParty with #Google (&amp; more) at #GSDM. Finally, the fun comes to us non #SWSurrogates. #sxsw #notpouting",Google,2,"[{""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""The"", ""entity"": ""B-event""}, {""word"": ""Indust"", ""entity"": ""I-event""}, {""word"": ""ry"", ""entity"": ""I-event""}, {""word"": ""Party"", ""entity"": ""I-event""}, {""word"": ""\u0120#"", ""entity"": ""B-corporation""}, {""word"": ""Google"", ""entity"": ""B-corporation""}, {""word"": ""\u0120#"", ""entity"": ""B-location""}, {""word"": ""G"", ""entity"": ""I-location""}, {""word"": ""SD"", ""entity"": ""I-location""}, {""word"": ""M"", ""entity"": ""I-location""}, {""word"": ""Sur"", ""entity"": ""I-group""}, {""word"": ""rog"", ""entity"": ""I-group""}]",2
2441,2441,Google body beta uber  #SXSW #health2dev #cool,Other Google product or service,2,"[{""word"": ""Google"", ""entity"": ""B-corporation""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",2
2443,2443,"Can anybody get the #SXSW mobile apps to work? I've downloaded Android, iPhone and BlackBerry and they all get stuck downloading on startup.",iPad or iPhone App,0,"[{""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""I-corporation""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""\u0120Android"", ""entity"": ""B-product""}, {""word"": ""\u0120iPhone"", ""entity"": ""B-product""}, {""word"": ""\u0120BlackBerry"", ""entity"": ""B-product""}]",0
2444,2444,i'm already jealous // @mention Apple does a popup store just for #sxsw {link} #gonnagetanipad2,Apple,2,"[{""word"": ""\u0120@"", ""entity"": ""B-corporation""}, {""word"": ""ment"", ""entity"": ""I-corporation""}, {""word"": ""ion"", ""entity"": ""I-corporation""}, {""word"": ""\u0120Apple"", ""entity"": ""I-corporation""}]",1
2445,2445,Can already tell i should have brought as ass pillow and iPhone backup charger to #sxsw #numbassonfloor,iPhone,2,"[{""word"": ""\u0120iPhone"", ""entity"": ""B-product""}, {""word"": ""n"", ""entity"": ""B-event""}, {""word"": ""umb"", ""entity"": ""I-event""}, {""word"": ""ass"", ""entity"": ""I-event""}, {""word"": ""on"", ""entity"": ""I-event""}, {""word"": ""floor"", ""entity"": ""I-event""}]",1
2450,2450,Find where @mention is playing at #SXSW on the #eventseekr app for Android. We got u! {link},Android App,2,"[{""word"": ""\u0120@"", ""entity"": ""B-group""}, {""word"": ""ment"", ""entity"": ""I-person""}, {""word"": ""ion"", ""entity"": ""I-person""}, {""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",2
2451,2451,Off to see @mention in &quot;Left Brain Search = Google. Right Brain Search = X&quot; panel at #SXSW #BetterSearch,Google,2,"[{""word"": ""\u0120@"", ""entity"": ""B-person""}, {""word"": ""ment"", ""entity"": ""I-person""}, {""word"": ""ion"", ""entity"": ""I-person""}, {""word"": ""\u0120Brain"", ""entity"": ""I-creative_work""}, {""word"": ""\u0120Search"", ""entity"": ""I-creative_work""}, {""word"": ""\u0120Google"", ""entity"": ""B-corporation""}, {""word"": ""\u0120Brain"", ""entity"": ""I-creative_work""}, {""word"": ""\u0120Search"", ""entity"": ""I-creative_work""}, {""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",2
2452,2452,Srsly love @mention @mention promo @mention Srsly hate that it excludes @mention Esp. since my iPad insists I'm at Disney #sxsw,iPad,0,"[{""word"": ""ment"", ""entity"": ""I-corporation""}, {""word"": ""ion"", ""entity"": ""I-corporation""}, {""word"": ""ment"", ""entity"": ""I-corporation""}, {""word"": ""ion"", ""entity"": ""I-corporation""}, {""word"": ""ment"", ""entity"": ""I-corporation""}, {""word"": ""ion"", ""entity"": ""I-corporation""}, {""word"": ""ment"", ""entity"": ""I-corporation""}, {""word"": ""ion"", ""entity"": ""I-corporation""}, {""word"": ""\u0120Disney"", ""entity"": ""B-corporation""}]",2
2453,2453,"The Google / ACLU party tonight at #sxsw is the best thing ever. (And apparently, the Spazmatics are a franchised band. But they rock.)",Google,2,"[{""word"": ""\u0120Google"", ""entity"": ""B-corporation""}, {""word"": ""\u0120ACLU"", ""entity"": ""B-corporation""}, {""word"": ""\u0120#"", ""entity"": ""B-location""}, {""word"": ""s"", ""entity"": ""I-location""}, {""word"": ""x"", ""entity"": ""I-location""}, {""word"": ""sw"", ""entity"": ""I-location""}, {""word"": ""\u0120Sp"", ""entity"": ""I-group""}, {""word"": ""az"", ""entity"": ""I-group""}, {""word"": ""mat"", ""entity"": ""I-group""}, {""word"": ""ics"", ""entity"": ""I-group""}]",2
2457,2457,"#dgtltribe #sxsw #openbeta6 iPad give-away, fantastic! now how are we going to squeeze that in...",iPad,2,"[{""word"": ""open"", ""entity"": ""B-event""}, {""word"": ""beta"", ""entity"": ""I-event""}, {""word"": ""\u0120iPad"", ""entity"": ""B-product""}]",2
2459,2459,Loving the 80s music at aclu google party!!! #sxsw,Google,2,"[{""word"": ""\u0120a"", ""entity"": ""B-event""}, {""word"": ""cl"", ""entity"": ""I-event""}, {""word"": ""\u0120google"", ""entity"": ""I-event""}, {""word"": ""\u0120party"", ""entity"": ""I-event""}]",2
2460,2460,sure to be a total scene! RT @mention Just spoke with the Austin Apple store. They are cautiously optimistic. #nerd #sxsw,Apple,2,"[{""word"": ""\u0120@"", ""entity"": ""B-person""}, {""word"": ""ment"", ""entity"": ""I-person""}, {""word"": ""ion"", ""entity"": ""I-person""}, {""word"": ""\u0120Austin"", ""entity"": ""B-location""}, {""word"": ""\u0120Apple"", ""entity"": ""I-corporation""}]",2
2463,2463,"Add google alerts to your project, and amazing things happen...#sxsw",Other Google product or service,2,"[{""word"": ""\u0120google"", ""entity"": ""B-corporation""}]",2
2465,2465,Looks like all the apps for #SXSW are for the #iPhone. What about the #blackberry? The blackberry??? {link} (rt @mention,iPhone,2,"[{""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""B-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""iPhone"", ""entity"": ""B-product""}, {""word"": ""black"", ""entity"": ""B-product""}, {""word"": ""berry"", ""entity"": ""I-product""}, {""word"": ""\u0120black"", ""entity"": ""B-product""}, {""word"": ""berry"", ""entity"": ""I-product""}, {""word"": ""ion"", ""entity"": ""I-person""}]",1
2466,2466,Even I use an iPhone now. RT @mention From evidence at #SxSW they might as well call this country the United States of Apple. #sxswsa,iPhone,2,"[{""word"": ""\u0120iPhone"", ""entity"": ""B-product""}, {""word"": ""ion"", ""entity"": ""I-person""}, {""word"": ""x"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""\u0120United"", ""entity"": ""B-location""}, {""word"": ""\u0120States"", ""entity"": ""I-location""}, {""word"": ""\u0120Apple"", ""entity"": ""B-corporation""}]",1
2468,2468,"Any Google Analytics and DFP experts at #SXSW? Would love some insight on managing DFP campaigns, ad management/measurement. DM me! #HISXSW",Google,2,"[{""word"": ""\u0120Google"", ""entity"": ""B-corporation""}, {""word"": ""\u0120Analytics"", ""entity"": ""I-corporation""}, {""word"": ""\u0120#"", ""entity"": ""B-event""}, {""word"": ""S"", ""entity"": ""I-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""H"", ""entity"": ""B-event""}, {""word"": ""IS"", ""entity"": ""I-event""}, {""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}]",2
2472,2472,Liking the Apple pop-up store at Sixth Street and Congress Avenue @mention #SXSW,Apple,2,"[{""word"": ""\u0120Apple"", ""entity"": ""B-corporation""}, {""word"": ""\u0120Sixth"", ""entity"": ""B-location""}, {""word"": ""\u0120Street"", ""entity"": ""I-location""}, {""word"": ""\u0120Congress"", ""entity"": ""B-location""}, {""word"": ""\u0120Avenue"", ""entity"": ""I-location""}, {""word"": ""ment"", ""entity"": ""B-location""}, {""word"": ""ion"", ""entity"": ""I-location""}, {""word"": ""S"", ""entity"": ""I-location""}, {""word"": ""X"", ""entity"": ""I-location""}, {""word"": ""SW"", ""entity"": ""I-location""}]",2
2474,2474,Fail Whale artist @mention living through the iPad 2 #sxsw {link},iPad,2,"[{""word"": ""Fail"", ""entity"": ""B-creative_work""}, {""word"": ""\u0120Whale"", ""entity"": ""I-creative_work""}, {""word"": ""\u0120@"", ""entity"": ""B-person""}, {""word"": ""ment"", ""entity"": ""I-person""}, {""word"": ""ion"", ""entity"": ""I-person""}, {""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""\u01202"", ""entity"": ""I-product""}]",1
2475,2475,I won't be at #sxsw and I won't be in line to buy iPad 2.0 tomorrow. #notwinning.,iPad,1,"[{""word"": ""s"", ""entity"": ""I-location""}, {""word"": ""x"", ""entity"": ""I-location""}, {""word"": ""sw"", ""entity"": ""I-location""}, {""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""\u01202"", ""entity"": ""I-product""}, {""word"": ""."", ""entity"": ""I-product""}, {""word"": ""0"", ""entity"": ""I-product""}]",0
2479,2479,"Which line at #SXSW will be longer? 3/11 at the temp Apple store for the iPad2? Or 3/14 at the Microsoft booth for IE9? [Yeah, right!] :D",Apple,2,"[{""word"": ""X"", ""entity"": ""I-event""}, {""word"": ""SW"", ""entity"": ""I-event""}, {""word"": ""\u0120Apple"", ""entity"": ""B-corporation""}, {""word"": ""\u0120iPad"", ""entity"": ""B-product""}, {""word"": ""2"", ""entity"": ""I-product""}, {""word"": ""\u0120Microsoft"", ""entity"": ""B-corporation""}, {""word"": ""\u0120IE"", ""entity"": ""B-product""}, {""word"": ""9"", ""entity"": ""I-product""}]",2
2480,2480,Short line at the Apple pop up store in Austin. 50-60 people. #ipad2  #sxsw {link},Apple,2,"[{""word"": ""\u0120Apple"", ""entity"": ""B-corporation""}, {""word"": ""\u0120Austin"", ""entity"": ""B-location""}]",1
2481,2481,Whoa! line at the pop up apple store in downtown austin. iPad midnight madness.  #sxsw  {link},iPad,2,"[{""word"": ""\u0120apple"", ""entity"": ""B-corporation""}, {""word"": ""\u0120downtown"", ""entity"": ""B-location""}, {""word"": ""\u0120aust"", ""entity"": ""I-location""}, {""word"": ""in"", ""entity"": ""I-location""}, {""word"": ""\u0120iPad"", ""entity"": ""B-product""}]",2
